Date,LQQ3_Price,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount,Signal_Count,MACD_Bullish,SMA_Bullish,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2018-08-07,3406.577880859375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,490655.8619007251,HOLD,0.0,2.0,1.0,1.0,0.018096692657056934,792.1015670922275,625106.0475872951,1036.5564501587182
2018-08-08,3468.0830078125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,499514.5617842828,HOLD,0.0,2.0,1.0,1.0,0.018054813101061162,808.2082941532415,636392.2204448268,1057.0767644451396
2018-08-09,3481.541015625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,501452.94412974763,HOLD,0.0,2.0,1.0,1.0,0.003880532208192067,811.7326256904502,638861.7609533058,1061.5668380969196
2018-08-10,3423.18408203125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,493047.6844962583,HOLD,0.0,2.0,1.0,1.0,-0.01676181131626675,796.4503354477424,628153.2806590286,1042.0968739255065
2018-08-13,3423.35009765625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,493071.5960410467,HOLD,0.0,1.0,0.0,1.0,4.8497428423832645e-05,796.4938109837213,628183.7444777965,1042.1522626869028
2018-08-14,3423.35009765625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,493071.5960410467,HOLD,0.0,1.0,0.0,1.0,0.0,796.4938109837213,628183.7444777965,1042.1522626869028
2018-08-15,3423.35009765625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,493071.5960410467,HOLD,0.0,1.0,0.0,1.0,0.0,796.4938109837213,628183.7444777965,1042.1522626869028
2018-08-16,3423.35009765625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,493071.5960410467,HOLD,0.0,1.0,0.0,1.0,0.0,796.4938109837213,628183.7444777965,1042.1522626869028
2018-08-17,3423.35009765625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,493071.5960410467,HOLD,0.0,1.0,0.0,1.0,0.0,796.4938109837213,628183.7444777965,1042.1522626869028
2018-08-20,3334.18798828125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,480229.4086159229,HOLD,0.0,1.0,0.0,1.0,-0.0260452792824325,773.144379301678,611822.523412188,1012.4045880221602
2018-08-21,3377.012939453125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,486397.5674142745,HOLD,0.0,1.0,0.0,1.0,0.01284419214585153,784.3592134804991,619680.889462054,1026.6925262946436
2018-08-22,3377.012939453125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,486397.5674142745,HOLD,0.0,1.0,0.0,1.0,0.0,784.3592134804991,619680.889462054,1026.6925262946436
2018-08-23,3397.177001953125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,489301.83551304514,HOLD,0.0,1.0,0.0,1.0,0.005970975788818,789.6397009328094,623380.9890498251,1033.419980090591
2018-08-24,3472.94189453125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,500214.3964377811,HOLD,0.0,1.0,0.0,1.0,0.02230230939823441,809.4807207959656,637283.8247405917,1058.6978631647123
2018-08-28,3472.94189453125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,500214.3964377811,HOLD,0.0,2.0,1.0,1.0,0.0,809.4807207959656,637283.8247405917,1058.6978631647123
2018-08-29,3472.94189453125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,500214.3964377811,HOLD,0.0,2.0,1.0,1.0,0.0,809.4807207959656,637283.8247405917,1058.6978631647123
2018-08-30,3472.94189453125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,500214.3964377811,HOLD,0.0,2.0,1.0,1.0,0.0,809.4807207959656,637283.8247405917,1058.6978631647123
2018-08-31,3472.94189453125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,500214.3964377811,HOLD,0.0,2.0,1.0,1.0,0.0,809.4807207959656,637283.8247405917,1058.6978631647123
2018-09-03,3472.94189453125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,500214.3964377811,HOLD,0.0,2.0,1.0,1.0,0.0,809.4807207959656,637283.8247405917,1058.6978631647123
