Date,LQQ3_Price,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2013-09-16,493.4159851074219,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,90541.68935925893,64.62125338047078
2013-09-17,503.7489929199219,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,92437.79327916434,68.06871505302607
2013-09-18,522.8920288085938,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,95950.53478154581,74.45551778462874
2013-09-19,525.9229736328125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,96506.71227279535,75.46674958690065
2013-09-20,519.6199951171875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,95350.11755348249,73.36385009724088
2013-09-23,516.927978515625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,94856.13329223976,72.46569689498136
2013-09-24,516.5709838867188,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,94790.62488195524,72.34659069446407
2013-09-25,511.7130126953125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,93899.18858519082,70.72579742761967
2013-09-26,523.9719848632812,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,96148.70640260482,74.81582982291786
2013-09-27,522.1719970703125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,95818.4091675731,74.21528939558746
2013-09-30,516.3419799804688,1.0,0.0,106.51855191414117,55000.0,BUY,0.0,0.0,94748.60273194883,72.27018678536152
2013-10-01,533.3599853515625,1.0,0.0,106.51855191414117,56812.733288595984,HOLD,0.03295878706538158,3.295878706538158,97871.40175413356,77.94800318933375
2013-10-02,533.4349975585938,1.0,0.0,106.51855191414117,56820.72348026484,HOLD,0.00014064086000353804,3.310406327754256,97885.16647224601,77.97302994953822
2013-10-03,514.0150146484375,1.0,0.0,106.51855191414117,54752.135022477625,HOLD,-0.03640552831935839,-0.4506635954952265,94321.60527219555,71.49382776762828
2013-10-04,527.7780151367188,1.0,0.0,106.51855191414117,56218.14990448296,HOLD,0.02677548339262903,2.214818008150843,96847.11184772734,76.08565790495881
2013-10-07,514.5689697265625,1.0,0.0,106.51855191414117,54811.14151522498,HOLD,-0.025027653731909516,-0.3433790632273004,94423.25586746691,71.67864703175802
2013-10-08,484.8789978027344,1.0,0.0,106.51855191414117,51648.60869952731,HOLD,-0.05769872198007797,-6.093438728132172,88975.15467871616,61.77300850675667
2013-10-09,479.71600341796875,1.0,0.0,106.51855191414117,51098.654014121224,HOLD,-0.010648005807968985,-7.09335633796141,88027.74671493228,60.05044857260413
2013-10-10,510.97198486328125,1.0,0.0,106.51855191414117,54427.99589633118,HOLD,0.06515517769391499,-1.0400074612160415,93763.21019413862,70.47856398934296
2013-10-11,521.9169921875,1.0,0.0,106.51855191414117,55593.842227196634,HOLD,0.021419975357645615,1.0797131403575078,95771.61584595082,74.1302106290015
2013-10-14,532.5770263671875,1.0,0.0,106.51855191414117,56729.333631372196,HOLD,0.02042476933929338,3.144242966131272,97727.7290088558,77.68678001610144
2013-10-15,526.9749755859375,1.0,0.0,106.51855191414117,56132.611294403956,HOLD,-0.010518761613625638,2.0592932625526528,96699.75432437063,75.81773513521932
2013-10-16,544.9760131835938,1.0,0.0,106.51855191414117,58050.05575225831,HOLD,0.03415918863631262,5.54555591319692,100002.9394734219,81.82352631531253
2013-10-17,554.7319946289062,1.0,0.0,106.51855191414117,59089.24876831423,HOLD,0.0179016712833302,7.434997760571327,101793.15922324186,85.07847131498521
2013-10-18,581.2150268554688,1.0,0.0,106.51855191414117,61910.183011383204,HOLD,0.04774022858421678,12.563969111605822,106652.787912869,93.91415984158
2013-10-21,584.9169921875,1.0,0.0,106.51855191414117,62304.510997787525,HOLD,0.006369355851069347,13.280929086886406,107332.09747159468,95.14926813017215
2013-10-22,587.8870239257812,1.0,0.0,106.51855191414117,62620.87447768828,HOLD,0.005077697823709482,13.856135413978699,107877.09742934039,96.14017714425525
2013-10-23,576.9420166015625,1.0,0.0,106.51855191414117,61455.028146822835,HOLD,-0.01861753513647968,11.73641481240515,105868.69177752819,92.48853050459671
2013-10-24,585.35498046875,1.0,0.0,106.51855191414117,62351.16487526164,HOLD,0.014581991994175647,13.365754318657519,107412.46819346194,95.29539671538537
2013-10-25,596.5280151367188,1.0,0.0,106.51855191414117,63541.30034858017,HOLD,0.019087622110981917,15.529636997418494,109462.71679634662,99.02312144790295
2013-10-28,595.822998046875,1.0,0.0,106.51855191414117,63466.202949095285,HOLD,-0.0011818675266780376,15.39309627108234,109333.34636598307,98.78790248360558
2013-10-29,600.6929931640625,1.0,0.0,106.51855191414117,63984.947776807036,HOLD,0.008173560156542248,16.336268685103693,110226.98904962151,100.41270736294821
2013-10-30,597.3200073242188,1.0,0.0,106.51855191414117,63625.66220951998,HOLD,-0.005615157623326095,15.683022199127228,109608.04713176325,99.28735842138772
2013-10-31,593.2579956054688,1.0,0.0,106.51855191414117,63192.98260338046,HOLD,-0.006800394543866606,14.896332006146284,108862.66916608452,97.93212575651731
2013-11-01,594.2979736328125,1.0,0.0,106.51855191414117,63303.75955687564,HOLD,0.0017529945403977898,15.097744648864797,109053.50483078581,98.27909969233784
