,Date,LQQ3_Price,Bullish_Count,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount
1059,2017-03-22,1501.4010009765625,1.0,0.66,0.6059833397749856,59327.55181453632,60.77232126878169,150571.1757991544,HOLD,0.0
1060,2017-03-23,1510.6199951171875,1.0,0.66,0.6074439997944915,59327.55181453632,60.77232126878169,151131.43547284347,HOLD,0.0
1061,2017-03-24,1510.6199951171875,1.0,0.66,0.6074439997944915,59327.55181453632,60.77232126878169,151131.43547284347,HOLD,0.0
1062,2017-03-27,1492.469970703125,1.0,0.66,0.6045579013983441,59327.55181453632,60.77232126878169,150028.41635811582,HOLD,0.0
1063,2017-03-28,1492.469970703125,1.0,0.66,0.6045579013983441,59327.55181453632,60.77232126878169,150028.41635811582,HOLD,0.0
1064,2017-03-29,1492.469970703125,1.0,0.66,0.6045579013983441,59327.55181453632,60.77232126878169,150028.41635811582,HOLD,0.0
1065,2017-03-30,1492.469970703125,1.0,0.66,0.6045579013983441,59327.55181453632,60.77232126878169,150028.41635811582,HOLD,0.0
1066,2017-03-31,1568.4930419921875,1.0,0.66,0.6163716679446952,59327.55181453632,60.77232126878169,154648.51487033424,HOLD,0.0
1067,2017-04-03,1557.760009765625,1.0,0.66,0.6147467598405421,59327.55181453632,60.77232126878169,153996.24358767338,HOLD,0.0
1068,2017-04-04,1557.760009765625,1.0,0.66,0.6147467598405421,59327.55181453632,60.77232126878169,153996.24358767338,HOLD,0.0
1069,2017-04-05,1557.760009765625,1.0,0.66,0.6147467598405421,59327.55181453632,60.77232126878169,153996.24358767338,HOLD,0.0
1070,2017-04-06,1557.760009765625,1.0,0.66,0.6147467598405421,59327.55181453632,60.77232126878169,153996.24358767338,HOLD,0.0
1071,2017-04-07,1557.760009765625,1.0,0.66,0.6147467598405421,59327.55181453632,60.77232126878169,153996.24358767338,HOLD,0.0
1072,2017-04-10,1557.760009765625,1.0,0.66,0.6147467598405421,59327.55181453632,60.77232126878169,153996.24358767338,HOLD,0.0
1073,2017-04-11,1557.760009765625,1.0,0.66,0.6147467598405421,59327.55181453632,60.77232126878169,153996.24358767338,HOLD,0.0
1074,2017-04-12,1519.85400390625,1.0,0.66,0.6088962227972159,59327.55181453632,60.77232126878169,151692.6076215711,HOLD,0.0
1075,2017-04-13,1519.85400390625,1.0,0.66,0.6088962227972159,59327.55181453632,60.77232126878169,151692.6076215711,HOLD,0.0
1076,2017-04-18,1496.0570068359375,1.0,0.66,0.6051316483329833,59327.55181453632,60.77232126878169,150246.40887038183,HOLD,0.0
1077,2017-04-19,1496.0570068359375,1.0,0.66,0.6051316483329833,59327.55181453632,60.77232126878169,150246.40887038183,HOLD,0.0
1078,2017-04-20,1514.9339599609375,1.0,0.66,0.6081237925242181,59327.55181453632,60.77232126878169,151393.60513027007,HOLD,0.0
1079,2017-04-21,1535.6280517578125,1.0,0.66,0.6113522924126479,59327.55181453632,60.77232126878169,152651.2331253154,HOLD,0.0
1080,2017-04-24,1580.5579833984375,2.0,1.0,1.0,0.0,98.30814876621595,155381.72936556386,BUY,37.53582749743426
1081,2017-04-25,1608.093994140625,2.0,1.0,1.0,0.0,98.30814876621595,158088.74360603496,HOLD,0.0
1082,2017-04-26,1620.5670166015625,2.0,1.0,1.0,0.0,98.30814876621595,159314.94335368916,HOLD,0.0
1083,2017-04-27,1615.4659423828125,2.0,1.0,1.0,0.0,98.30814876621595,158813.46619052478,HOLD,0.0
1084,2017-04-28,1630.9820556640625,2.0,1.0,1.0,0.0,98.30814876621595,160338.82656325135,HOLD,0.0
1085,2017-05-02,1680.7860107421875,2.0,1.0,1.0,0.0,98.30814876621595,165234.9611882176,HOLD,0.0
1086,2017-05-03,1668.3580322265625,2.0,1.0,1.0,0.0,98.30814876621595,164013.1896274402,HOLD,0.0
1087,2017-05-04,1672.7020263671875,2.0,1.0,1.0,0.0,98.30814876621595,164440.23964965635,HOLD,0.0
1088,2017-05-05,1661.27294921875,2.0,1.0,1.0,0.0,98.30814876621595,163316.6682330872,HOLD,0.0
1089,2017-05-08,1679.9990234375,2.0,1.0,1.0,0.0,98.30814876621595,165157.59392319128,HOLD,0.0
1090,2017-05-09,1717.4959716796875,2.0,1.0,1.0,0.0,98.30814876621595,168843.84948926335,HOLD,0.0
1091,2017-05-10,1711.6219482421875,2.0,1.0,1.0,0.0,98.30814876621595,168266.38511931335,HOLD,0.0
1092,2017-05-11,1698.4520263671875,2.0,1.0,1.0,0.0,98.30814876621595,166971.6744803864,HOLD,0.0
1093,2017-05-12,1726.9119873046875,2.0,1.0,1.0,0.0,98.30814876621595,169769.52055411084,HOLD,0.0
1094,2017-05-15,1737.4169921875,2.0,1.0,1.0,0.0,98.30814876621595,170802.2481369202,HOLD,0.0
1095,2017-05-16,1751.9649658203125,2.0,1.0,1.0,0.0,98.30814876621595,172232.43249306173,HOLD,0.0
1096,2017-05-17,1674.5040283203125,1.0,0.66,0.66,55969.91298275198,64.88337818570254,164617.39112574118,SELL,33.42477058051341
1097,2017-05-18,1657.866943359375,1.0,0.66,0.6577557505211192,55969.91298275198,64.88337818570254,163537.920850313,HOLD,0.0
1098,2017-05-19,1686.8719482421875,1.0,0.66,0.6616493824796328,55969.91298275198,64.88337818570254,165419.86355140267,HOLD,0.0
1099,2017-05-22,1712.0760498046875,1.0,0.66,0.6649615452649205,55969.91298275198,64.88337818570254,167055.19080491323,HOLD,0.0
1100,2017-05-23,1728.3349609375,1.0,0.66,0.6670639953778406,55969.91298275198,64.88337818570254,168110.1238848312,HOLD,0.0
1101,2017-05-24,1728.3349609375,1.0,0.66,0.6670639953778406,55969.91298275198,64.88337818570254,168110.1238848312,HOLD,0.0
1102,2017-05-25,1798.6510009765625,2.0,1.0,0.9999999999999998,1.4551915228366852e-11,96.001095270542,172672.46610320674,BUY,31.117717084839455
