Date,LQQ3_Price,TQQQ_Price,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Daily_Return,BuyHold_Value
2016-01-22,1013.6389770507812,3.579334259033203,0.0,0.0,107.62918705084483,109097.13906302555,HOLD,0.0847810559518416,186002.45665447606
2016-01-25,968.2750244140625,3.418164014816284,0.0,0.0,107.62918705084483,104214.65371932248,HOLD,-0.04475355986083607,177678.1845763274
2016-01-26,994.0349731445312,3.5157463550567627,0.0,0.0,107.62918705084483,106987.17605965427,HOLD,0.026603958669755956,182405.1276553133
2016-01-27,920.052978515625,3.25419545173645,0.0,0.0,107.62918705084483,99024.55412134512,HOLD,-0.07442594740391428,168829.45321823467
2016-01-28,958.4409790039062,3.3825714588165283,1.0,0.0,107.62918705084483,103156.22340640626,HOLD,0.041723684814557904,175873.64011172648
2016-01-29,1022.323974609375,3.6029300689697266,1.0,0.0,107.62918705084483,110031.89828979557,HOLD,0.06665303029077663,187596.1511734425
2016-02-01,1027.39404296875,3.623326301574707,1.0,0.0,107.62918705084483,110577.5856256073,HOLD,0.004959355825840062,188526.50723866967
2016-02-02,960.2520141601562,3.39336895942688,1.0,0.0,107.62918705084483,103351.14364799396,HOLD,-0.06535177935680903,176205.96453469826
2016-02-03,946.1699829101562,3.3453779220581055,1.0,0.0,107.62918705084483,101835.50607253186,HOLD,-0.01466493279091563,173621.91590743847
2016-02-04,944.4400024414062,3.339378833770752,1.0,0.0,107.62918705084483,101649.30968106647,HOLD,-0.0018284034581491637,173304.4649959828
2016-02-05,847.0289916992188,2.995842456817627,1.0,0.0,107.62918705084483,91165.04178508371,HOLD,-0.1031415553030125,155429.57293534064
2016-02-08,806.5700073242188,2.859067678451538,0.0,57294.912964013754,36.593923597287244,86810.47418789963,SELL,-0.04776576099695895,148005.36110265178
2016-02-09,798.6649780273438,2.8258748054504395,0.0,57294.912964013754,36.593923597287244,86521.19814977548,HOLD,-0.0033322711438946717,146554.79053222795
2016-02-10,809.9359741210938,2.859468460083008,0.0,57294.912964013754,36.593923597287244,86933.64811969548,HOLD,0.004767039508699611,148623.0150281724
2016-02-11,807.7020263671875,2.8526690006256104,0.0,57294.912964013754,36.593923597287244,86851.8992062687,HOLD,-0.0009403598628947574,148213.08626687588
2016-02-12,842.5230102539062,2.9742472171783447,0.0,57294.912964013754,36.593923597287244,88126.13563020166,HOLD,0.01467137086900916,154602.72665432433
2016-02-16,897.114013671875,3.1722097396850586,1.0,0.0,100.45973339498116,90123.83463837804,BUY,0.022668632794239363,164620.15985970353
2016-02-17,959.18701171875,3.391368865966797,1.0,0.0,100.45973339498116,96359.67147319429,HOLD,0.06919187204847144,176010.53689731503
2016-02-18,926.5390014648438,3.2761902809143066,1.0,0.0,100.45973339498116,93079.86106721027,HOLD,-0.03403716882634267,170019.63653772592
2016-02-19,934.9000244140625,3.3101842403411865,1.0,0.0,100.45973339498116,93919.80720359809,HOLD,0.009023929846450063,171553.88181036132
2016-02-22,979.9249877929688,3.466555118560791,1.0,0.0,100.45973339498116,98443.00302076181,HOLD,0.048160190611959086,179815.94945856975
2016-02-23,932.177001953125,3.293787717819214,1.0,0.0,100.45973339498116,93646.25309314376,HOLD,-0.04872616418057063,171054.20798296633
2016-02-24,957.7650146484375,3.3917694091796875,1.0,0.0,100.45973339498116,96216.81802662225,HOLD,0.02744973609271595,175749.6008496473
