combination_id,matches_correct,current_price_live,rsi_live,moving_average_live,moving_average_return_live,cumulative_return_live,exponential_moving_average_price_live,max_drawdown_live,stdev_return_live,allocation,error
59,False,False,False,True,True,True,False,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
60,False,False,False,True,True,True,True,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
61,False,False,False,True,True,True,True,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
62,False,False,False,True,True,True,True,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
63,False,False,False,True,True,True,True,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
64,False,False,True,False,False,False,False,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
65,False,False,True,False,False,False,False,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
66,False,False,True,False,False,False,False,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
67,False,False,True,False,False,False,False,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
68,False,False,True,False,False,False,True,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
69,False,False,True,False,False,False,True,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
70,False,False,True,False,False,False,True,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
71,False,False,True,False,False,False,True,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
72,False,False,True,False,False,True,False,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
73,False,False,True,False,False,True,False,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
74,False,False,True,False,False,True,False,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
75,False,False,True,False,False,True,False,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
76,False,False,True,False,False,True,True,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
77,False,False,True,False,False,True,True,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
78,False,False,True,False,False,True,True,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
79,False,False,True,False,False,True,True,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
80,False,False,True,False,True,False,False,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
